Source,Headline,Link
CNN,United Airlines plane to undergo deep cleaning after several passengers report feeling sick on Vancouver-to-Houston flight,/2024/06/01/travel/united-airlines-passengers-illness-vancouver-houston-trnd/index.html
CNN,The world’s most walkable cities revealed (and they aren’t in the US),/travel/travel-news-walkable-cities/index.html
CNN,What was it like to cook for leaders Xi Jinping and Emmanuel Macron? One of the world’s top chefs shares his experience,/travel/chef-mauro-colagreco-xi-jinping-state-dinner-france-intl-hnk/index.html
CNN,Family beach vacation packing list: 32 essentials for a perfect getaway,/cnn-underscored/travel/family-beach-vacation-packing-list
CNN,Better late than never! Book borrowed in 1939 returned to Finnish library after 84 years,/2024/05/31/travel/library-book-1939-late-scli-intl/index.html
CNN,"The true stories behind iconic Diana photos, according to the man who took them",/2024/05/31/style/princess-diana-exhibition-london-intl-scli-gbr/index.html
CNN,"Emily Ratajkowski, Stormy Daniels and the not-so-subtle art of sartorial support",/2024/05/31/style/emily-ratajkowski-stormy-daniels-sartorial-support/index.html
CNN,"Up in the air with the photographer who documents the world from 12,000 feet",/2024/05/31/style/helicopter-photographer-donn-delson/index.html
CNN,‘It’s a disgrace:’ Actor Guy Pearce responds to Vanity Fair France’s edit of Palestine flag pin,/2024/05/29/style/vanity-fair-france-guy-pearce-cec/index.html
CNN,‘Virtually complete’ Stegosaurus fossil goes on sale - but not everyone is happy,/2024/05/30/style/stegosaurus-fossil-auction-scli-intl-scn/index.html
CNN,Here’s why the US has more tornadoes than any other country,/weather/us-leads-tornado-numbers-tornado-alley-xpn/index.html
CNN,Weather-related power outages are getting worse. What will it take to keep the lights on as America’s grid gets thrashed?,/2024/05/31/weather/power-grid-outages-us-texas-climate/index.html
CNN,Hawaii authorizes power cuts in high-risk weather conditions after Maui fire disaster,/2024/05/30/weather/hawaii-power-cuts-wildfires/index.html
CNN,Hundreds of thousands of Texans are still without power after storms unleash hurricane-force winds,/2024/05/29/weather/texas-dallas-houston-storm-power-outages/index.html
CNN,The scenic garden that became China’s secretive seat of power,/2024/05/25/style/zhongnanhai-architecture-history-intl-hnk/index.html
CNN,A graffiti ‘takeover’ roils downtown Los Angeles,/2024/04/10/style/graffiti-oceanwide-plaza-los-angeles-skyscrapers/index.html
